H_OQ-X318526232-X318526232	HPFS171830
H_OQ-X310244190-X310244190	HPFS174023
H_OQ-X116096406-X116096406	NHS296499
H_OQ-X312927100-X312927100	HPFS408287
H_OQ-X310485457-X310485457	HPFS710047
H_OQ-X319852903-X319852903	HPFS124977
H_OQ-X120049731-X120049731	NHS232826
H_OQ-X318679087-X318679087	HPFS306843
H_OQ-X319219220-X319219220	HPFS202899
H_OQ-X317643641-X317643641	HPFS600737
H_OQ-X315447510-X315447510	HPFS603525
H_OQ-X311873606-X311873606	HPFS306182
H_OQ-X122060829-X122060829	NHS359990
H_OQ-X120198772-X120198772	NHS270838
H_OQ-X117981383-X117981383	NHS234655
H_OQ-X118074717-X118074717	NHS319662
H_OQ-X310462943-X310462943	HPFS178045
H_OQ-X313895141-X313895141	HPFS126378
H_OQ-X314363989-X314363989	HPFS113421
H_OQ-X315356083-X315356083	HPFS712516
H_OQ-X317189026-X317189026	HPFS603694
H_OQ-X310229825-X310229825	HPFS507021
H_OQ-X113598638-X113598638	NHS249293
H_OQ-X116034657-X116034657	NHS278494
H_OQ-X313730263-X313730263	HPFS712361
H_OQ-X315809124-X315809124	HPFS165561
H_OQ-X116734328-X116734328	NHS260552
H_OQ-X116293310-X116293310	NHS326515
H_OQ-X313510639-X313510639	HPFS505341
H_OQ-X319299688-X319299688	HPFS126908
H_OQ-X319719481-X319719481	HPFS193956
H_OQ-X318675170-X318675170	HPFS140843
H_OQ-X310077416-X310077416	HPFS166007
H_OQ-X315126040-X315126040	HPFS303493
H_OQ-X317486250-X317486250	HPFS153722
H_OQ-X316773042-X316773042	HPFS715655
H_OQ-X118383237-X118383237	NHS267688
H_OQ-X313851505-X313851505	HPFS718373
H_OQ-X310223995-X310223995	HPFS111021
H_OQ-X317168419-X317168419	HPFS179692
H_OQ-X317428836-X317428836	HPFS137716
H_OQ-X318585475-X318585475	HPFS194835
H_OQ-X114894870-X114894870	NHS243399
H_OQ-X312801554-X312801554	HPFS124275
H_OQ-X316260268-X316260268	HPFS175605
H_OQ-X315278823-X315278823	HPFS300508
H_OQ-X316830628-X316830628	HPFS722660
H_OQ-X312667713-X312667713	HPFS148262
H_OQ-X119587504-X119587504	NHS303788
H_OQ-X317375330-X317375330	HPFS716710
H_OQ-X315658235-X315658235	HPFS137546
H_OQ-X312407952-X312407952	HPFS137235
H_OQ-X316080981-X316080981	HPFS194587
H_OQ-X310248937-X310248937	HPFS123024
H_OQ-X312298895-X312298895	HPFS192223
H_OQ-X116563734-X116563734	NHS277538
H_OQ-X317745559-X317745559	HPFS719747
H_OQ-X117583658-X117583658	NHS340622
H_OQ-X315578135-X315578135	HPFS721538
H_OQ-X318638775-X318638775	HPFS108840
H_OQ-X115150237-X115150237	NHS262420
H_OQ-X115854237-X115854237	NHS249479
H_OQ-X316592853-X316592853	HPFS303638
H_OQ-X315682020-X315682020	HPFS702548
H_OQ-X317819466-X317819466	HPFS162755
H_OQ-X319889650-X319889650	HPFS507982
H_OQ-X110272825-X110272825	NHS227022
H_OQ-X111155004-X111155004	NHS204094
H_OQ-X318769715-X318769715	HPFS101852
H_OQ-X313641985-X313641985	HPFS147353
H_OQ-X318842671-X318842671	HPFS721859
H_OQ-X311847811-X311847811	HPFS702179
H_OQ-X115085684-X115085684	NHS156415
H_OQ-X116345187-X116345187	NHS125520
H_OQ-X116077494-X116077494	NHS142498
H_OQ-X318460322-X318460322	HPFS133824
H_OQ-X310846478-X310846478	HPFS127083
H_OQ-X314594940-X314594940	HPFS112444
H_OQ-X121527569-X121527569	NHS215947
H_OQ-X318385762-X318385762	HPFS130817
H_OQ-X315050123-X315050123	HPFS700486
H_OQ-X110626957-X110626957	NHS127051
H_OQ-X316307066-X316307066	HPFS140610
H_OQ-X315467215-X315467215	HPFS712527
H_OQ-X311838391-X311838391	HPFS711178
H_OQ-X114104209-X114104209	NHS172335
H_OQ-AT0916-AT0916	AT0916
H_OQ-X310402277-X310402277	HPFS174039
H_OQ-X116112335-X116112335	NHS127501
H_OQ-X117203563-X117203563	NHS198591
H_OQ-X315146878-X315146878	HPFS146495
H_OQ-X119775509-X119775509	NHS111804
H_OQ-X115730186-X115730186	NHS111469
H_OQ-X112735172-X112735172	NHS115223
H_OQ-X110909785-X110909785	NHS230074
H_OQ-X118455237-X118455237	NHS261694
H_OQ-X312494794-X312494794	HPFS721243
H_OQ-X314555396-X314555396	HPFS703439
H_OQ-X313499323-X313499323	HPFS603340
H_OQ-X110693579-X110693579	NHS214056
H_OQ-X121583282-X121583282	NHS116952
H_OQ-X111594071-X111594071	NHS168130
H_OQ-X118698102-X118698102	NHS141715
H_OQ-X116525201-X116525201	NHS225535
H_OQ-X112451442-X112451442	NHS270200
H_OQ-X317300559-X317300559	HPFS112704
H_OQ-X115493010-X115493010	NHS222449
H_OQ-X120799643-X120799643	NHS214887
H_OQ-X118286550-X118286550	NHS203680
H_OQ-X310368035-X310368035	HPFS404035
H_OQ-X113740991-X113740991	NHS118305
H_OQ-X117781773-X117781773	NHS186639
H_OQ-X111937088-X111937088	NHS203158
H_OQ-X114645303-X114645303	NHS145379
H_OQ-X115681633-X115681633	NHS119465
H_OQ-X116729861-X116729861	NHS160552
H_OQ-X318168638-X318168638	HPFS106793
H_OQ-X118224492-X118224492	NHS131675
H_OQ-X311731448-X311731448	HPFS106168
H_OQ-X111761469-X111761469	NHS114144
H_OQ-X318009172-X318009172	HPFS102774
H_OQ-X311287046-X311287046	HPFS508123
H_OQ-X116873568-X116873568	NHS125564
H_OQ-X112016080-X112016080	NHS139165
H_OQ-X314181353-X314181353	HPFS710403
H_OQ-X112765920-X112765920	NHS249225
H_OQ-X114827527-X114827527	NHS111394
H_OQ-X121120896-X121120896	NHS134914
H_OQ-X317777487-X317777487	HPFS114751
H_OQ-X110282008-X110282008	NHS151023
H_OQ-X315273277-X315273277	HPFS711507
H_OQ-X314784234-X314784234	HPFS147462
H_OQ-X317822850-X317822850	HPFS304755
H_OQ-X316047576-X316047576	HPFS127584
H_OQ-X120709265-X120709265	NHS100880
H_OQ-X311368563-X311368563	HPFS717131
H_OQ-X122066344-X122066344	NHS216991
H_OQ-X318270410-X318270410	HPFS713804
H_OQ-X118161082-X118161082	NHS341669
H_OQ-X315448721-X315448721	HPFS709525
H_OQ-X119841164-X119841164	NHS229809
H_OQ-X315260255-X315260255	HPFS301506
H_OQ-X117624014-X117624014	NHS191626
H_OQ-X113295584-X113295584	NHS145269
H_OQ-X115865558-X115865558	NHS240480
H_OQ-X111310070-X111310070	NHS150107
H_OQ-X120532538-X120532538	NHS198865
H_OQ-X310502706-X310502706	HPFS719049
H_OQ-X312583381-X312583381	HPFS707252
H_OQ-X313301100-X313301100	HPFS148323
H_OQ-X117530505-X117530505	NHS223618
H_OQ-X110641225-X110641225	NHS152052
H_OQ-G6656-G6656	G6656
H_OQ-G5877-G5877	G5877
H_OQ-AT0682-AT0682	AT0682
H_OQ-G6013-G6013	G6013
H_OQ-AT0940-AT0940	AT0940
H_OQ-G6409-G6409	G6409
H_OQ-AT0676-AT0676	AT0676
H_OQ-AT1099-AT1099	AT1099
H_OQ-G6582-G6582	G6582
H_OQ-AT0498-AT0498	AT0498
H_OQ-AT0641-AT0641	AT0641
H_OQ-G6204-G6204	G6204
H_OQ-G6535-G6535	G6535
H_OQ-AT0724-AT0724	AT0724
H_OQ-AT0908-AT0908	AT0908
H_OQ-G6006-G6006	G6006
H_OQ-G6171-G6171	G6171
H_OQ-AT0269-AT0269	AT0269
H_OQ-AT0976-AT0976	AT0976
H_OQ-AT0905-AT0905	AT0905
H_OQ-G5428-G5428	G5428
H_OQ-AT0653-AT0653	AT0653
H_OQ-G6111-G6111	G6111
H_OQ-G5553-G5553	G5553
H_OQ-AT0650-AT0650	AT0650
H_OQ-G6150-G6150	G6150
H_OQ-AT0208-AT0208	AT0208
H_OQ-G6037-G6037	G6037
H_OQ-AT0872-AT0872	AT0872
H_OQ-AT0587-AT0587	AT0587
H_OQ-G6231-G6231	G6231
H_OQ-G6181-G6181	G6181
H_OQ-AT0447-AT0447	AT0447
H_OQ-AT1122-AT1122	AT1122
H_OQ-AT0570-AT0570	AT0570
H_OQ-G5873-G5873	G5873
H_OQ-AT0357-AT0357	AT0357
H_OQ-AT0231-AT0231	AT0231
H_OQ-AT0526-AT0526	AT0526
H_OQ-DM102-DM102	DM102
H_OQ-AT0399-AT0399	AT0399
H_OQ-G6738-G6738	G6738
H_OQ-G6000-G6000	G6000
H_OQ-AT0219-AT0219	AT0219
H_OQ-AT0626-AT0626	AT0626
H_OQ-G6658-G6658	G6658
H_OQ-G5566-G5566	G5566
H_OQ-G6510-G6510	G6510
H_OQ-G6685-G6685	G6685
H_OQ-AT0695-AT0695	AT0695
H_OQ-G6568-G6568	G6568
H_OQ-AT1019-AT1019	AT1019
H_OQ-G5914-G5914	G5914
H_OQ-G6590-G6590	G6590
H_OQ-G6094-G6094	G6094
H_OQ-G6314-G6314	G6314
H_OQ-AT0749-AT0749	AT0749
H_OQ-AT0363-AT0363	AT0363
H_OQ-AT1231-AT1231	AT1231
H_OQ-G5790-G5790	G5790
H_OQ-AT0286-AT0286	AT0286
H_OQ-G5801-G5801	G5801
H_OQ-AT0751-AT0751	AT0751
H_OQ-AT0501-AT0501	AT0501
H_OQ-AT0495-AT0495	AT0495
H_OQ-G6463-G6463	G6463
H_OQ-AT0793-AT0793	AT0793
H_OQ-AT0612-AT0612	AT0612
H_OQ-G5576-G5576	G5576
H_OQ-G5654-G5654	G5654
H_OQ-G6486-G6486	G6486
H_OQ-G5598-G5598	G5598
H_OQ-DM184-DM184	DM184
H_OQ-AT0403-AT0403	AT0403
H_OQ-AT1108-AT1108	AT1108
H_OQ-AT0344-AT0344	AT0344
H_OQ-AT0723-AT0723	AT0723
H_OQ-G5943-G5943	G5943
H_OQ-G5797-G5797	G5797
H_OQ-G5940-G5940	G5940
H_OQ-G5925-G5925	G5925
H_OQ-G5900-G5900	G5900
H_OQ-AT0487-AT0487	AT0487
H_OQ-G6947-G6947	G6947
H_OQ-AT1272-AT1272	AT1272
H_OQ-G6673-G6673	G6673
H_OQ-G5979-G5979	G5979
H_OQ-AT0777-AT0777	AT0777
H_OQ-G6638-G6638	G6638
H_OQ-G5989-G5989	G5989
H_OQ-AT0692-AT0692	AT0692
H_OQ-AT1029-AT1029	AT1029
H_OQ-G6096-G6096	G6096
H_OQ-AT0248-AT0248	AT0248
H_OQ-G6366-G6366	G6366
H_OQ-G5843-G5843	G5843
H_OQ-G6687-G6687	G6687
H_OQ-AT0822-AT0822	AT0822
